date,pp_cases,sp_cases,gp_cases,pp_caserate,sp_caserate,gp_caserate
4/22/20,8948,3512,839336,735,851,256
4/23/20,9401,3832,873112,772,928,266
4/24/20,10113,3950,909853,831,957,277
4/25/20,11520,4314,944261,946,1045,288
4/26/20,11747,4384,970996,965,1062,296
4/27/20,12177,4454,994193,1000,1079,303
4/28/20,12533,4585,1018844,1030,1111,310
4/29/20,13169,4770,1045399,1082,1156,318
4/30/20,13965,4910,1075756,1147,1189,328
5/1/20,14609,5082,1109726,1200,1231,338
5/2/20,14639,5082,1139200,1203,1231,347
5/3/20,17218,5276,1165340,1414,1278,355
5/4/20,17430,5410,1187302,1432,1311,362
5/5/20,18347,6160,1211011,1507,1492,369
5/6/20,18792,5877,1235515,1544,1424,376
5/7/20,20991,6225,1263993,1724,1508,385
5/8/20,21395,6371,1291641,1758,1543,394
5/9/20,22181,6371,1316509,1822,1543,401
5/10/20,22366,6373,1336826,1837,1544,407
5/11/20,22883,6239,1354447,1880,1511,413
5/12/20,23753,6439,1376747,1951,1560,419
5/13/20,24383,6586,1397892,2003,1596,426
5/14/20,25093,6679,1424853,2061,1618,434
5/15/20,25470,6786,1451090,2092,1644,442
5/16/20,25501,6805,1474748,2095,1649,449
5/17/20,25532,6806,1493761,2097,1649,455
5/18/20,26453,6968,1515585,2173,1688,462
5/19/20,28249,7056,1536554,2321,1709,468
5/20/20,29310,7164,1559620,2408,1736,475
5/21/20,30326,7261,1585352,2491,1759,483
5/22/20,30943,7350,1609147,2542,1781,490
5/23/20,31253,7351,1631416,2567,1781,497
5/24/20,31395,7313,1651447,2579,1772,503
5/25/20,31503,7364,1670547,2588,1784,509
5/26/20,32258,7547,1689440,2650,1828,515
5/27/20,34003,7720,1708182,2793,1870,520
5/28/20,35748,7893,1730692,2937,1912,527
5/29/20,36787,7972,1755240,3022,1931,535
5/30/20,36871,7976,1778637,3029,1932,542
5/31/20,37508,7981,1799271,3081,1933,548
6/1/20,39479,8104,1821167,3243,1963,555
6/2/20,40704,8306,1841953,3344,2012,561
6/3/20,41878,8358,1861939,3440,2025,567
6/4/20,41587,8425,1883554,3416,2041,574
6/5/20,42593,8529,1912261,3499,2066,583
6/6/20,42797,8545,1934771,3516,2070,589
6/7/20,42797,8576,1953386,3516,2078,595
6/8/20,44139,8606,1971591,3626,2085,601
6/9/20,44598,8733,1990396,3664,2116,606
6/10/20,45036,8819,2013246,3700,2136,613
6/11/20,45463,8885,2036447,3735,2152,620
6/12/20,45812,8951,2061939,3763,2168,628
6/13/20,45388,8854,2087273,3728,2145,636
6/14/20,45923,8761,2106403,3772,2122,642
6/15/20,46235,9082,2126520,3798,2200,648
6/16/20,46892,9131,2151403,3852,2212,655
6/17/20,47538,9198,2177056,3905,2228,663
6/18/20,47727,9265,2205115,3921,2245,672
6/19/20,48092,9325,2235950,3951,2259,681
6/20/20,48365,9363,2267975,3973,2268,691
6/21/20,48478,9393,2294354,3982,2276,699
6/22/20,48735,9457,2324819,4003,2291,708
6/23/20,49276,9551,2359878,4048,2314,719
6/24/20,49587,9640,2396858,4073,2335,730
6/25/20,49992,9726,2438031,4107,2356,743
6/26/20,50510,9809,2483559,4149,2376,757
6/27/20,52262,10053,2525858,4293,2435,770
6/28/20,52607,10054,2565364,4321,2436,782
6/29/20,53425,10168,2604858,4389,2463,794
6/30/20,53984,10401,2653243,4435,2520,808
7/1/20,54442,10552,2703218,4472,2556,824
7/2/20,55358,10782,2758775,4547,2612,840
7/3/20,56484,10879,2815928,4640,2636,858
7/4/20,56837,10879,2865933,4669,2636,873
7/5/20,56988,11009,2910696,4681,2667,887
7/6/20,57404,11158,2958011,4715,2703,901
7/7/20,58334,11457,3012084,4792,2776,918
7/8/20,58924,11745,3071536,4840,2845,936
7/9/20,60433,12040,3131422,4964,2917,954
7/10/20,61337,12259,3199646,5039,2970,975
7/11/20,61710,12298,3260362,5069,2979,993
7/12/20,62013,12324,3318167,5094,2986,1011
7/13/20,63437,12625,3379734,5211,3059,1030
7/14/20,64983,12875,3445331,5338,3119,1050
7/15/20,66004,13021,3513667,5422,3154,1070
7/16/20,67432,13341,3589349,5539,3232,1094
7/17/20,68036,13532,3660271,5589,3278,1115
7/18/20,69897,13758,3722719,5742,3333,1134
7/19/20,70955,13710,3784994,5829,3321,1153
7/20/20,71582,13882,3844882,5880,3363,1171
7/21/20,72365,14084,3910148,5944,3412,1191
7/22/20,74177,14870,3979885,6093,3602,1212
7/23/20,74829,15093,4049889,6147,3656,1234
7/24/20,76585,15443,4123413,6291,3741,1256
7/25/20,77104,15505,4190189,6334,3756,1277
7/26/20,77784,15556,4244406,6390,3769,1293
7/27/20,79227,15769,4303587,6508,3820,1311
7/28/20,80695,16110,4366697,6629,3903,1330
7/29/20,81836,16362,4433312,6722,3964,1351
7/30/20,83131,16792,4502423,6829,4068,1372
7/31/20,84082,17042,4571482,6907,4129,1393
8/1/20,84959,17108,4628303,6979,4145,1410
8/2/20,85295,17186,4679096,7007,4163,1426
8/3/20,87023,17447,4726579,7149,4227,1440
8/4/20,88704,17769,4780116,7287,4305,1456
8/5/20,89488,17922,4833837,7351,4342,1473
8/6/20,91476,18260,4891532,7514,4424,1490
8/7/20,93493,18496,4952682,7680,4481,1509
8/8/20,94334,18284,5007922,7749,4429,1526
8/9/20,95328,18374,5056410,7831,4451,1540
8/10/20,97894,18890,5103575,8042,4576,1555
8/11/20,100422,19115,5156920,8249,4631,1571
8/12/20,100718,19340,5211203,8273,4685,1588
8/13/20,101013,19768,5265260,8298,4789,1604
8/14/20,102175,19955,5324737,8393,4834,1622
8/15/20,102466,19931,5375486,8417,4828,1638
8/16/20,102888,20068,5417629,8452,4862,1651
8/17/20,103746,20542,5455136,8522,4976,1662
8/18/20,105125,20843,5498362,8636,5049,1675
8/19/20,105658,21000,5541376,8679,5087,1688
8/20/20,106268,21289,5587401,8729,5157,1702
8/21/20,107461,21515,5636428,8827,5212,1717
8/22/20,107865,21499,5681459,8861,5208,1731
8/23/20,108132,21506,5713799,8883,5210,1741
8/24/20,109683,21779,5754178,9010,5276,1753
8/25/20,110559,22226,5793346,9082,5384,1765
8/26/20,111692,22375,5838125,9175,5421,1779
8/27/20,112231,22553,5883729,9219,5464,1793
8/28/20,113069,22692,5930285,9288,5497,1807
8/29/20,113555,22669,5974924,9328,5492,1820
8/30/20,113840,22727,6008376,9351,5506,1830
8/31/20,114109,23001,6044815,9374,5572,1842