,totalpop,2001,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All,22869200,1322600,1460300,1482100,1489800,1490600,1487500,1466400,1443500,1444100,1439200,1405800,1382900
Male,18860000,1109400,1205100,1222500,1230600,1227500,1222900,1201100,1180600,1181500,1179400,1156000,1139900
Female,1409100,76100,92200,93600,93900,92100,91500,89100,86400,88800,90300,89100,88800
white,6670600,387900,475000,441600,441100,430400,424700,414600,407800,406100,406300,396100,385400
black,7584200,495400,523300,502700,502800,493200,481800,467900,454600,448200,437000,421000,409600
Hispanic,4179400,232200,189900,277200,272400,277400,278600,270900,260900,262100,261800,258300,266100
other,1834900,70000,33700,94600,108300,118600,129300,136800,143700,153900,164700,169600,167600
17 or younger,31600,2900,2800,2400,2600,2500,2100,1800,1400,1100,1000,900,800
18-24,3030100,218000,227500,196700,197900,198700,196000,189100,180400,173700,161300,145500,134800
25-34,6712900,401700,429500,437700,439200,437300,434800,424400,413800,415300,417700,407700,400000
35-44,5534900,362000,384500,366600,356600,343700,334200,324100,318200,320500,323700,322500,322600
45-54,3475200,153000,185600,232200,240600,243500,245600,242300,238000,236500,235000,229400,224900
55 or older,1484400,47800,60400,80400,87600,93900,101700,108500,115300,123100,131100,139100,145600